"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,145,145,,COVID-19 (SARS-CoV-2) Antigen Rapid Test Kit (Colloidal Gold), antigen rapid colloidal gold,,"JOYSBIO (Tianjin) Biotechnology Co., Ltd",joysbio tianjin biotechnology ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,download via product webpage,download via product webpage,#N/A,#N/A,#N/A,,,,IDN0026,,,,,IDN0026,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,793,793,,JOYSBIO SARS-COV-2 IgG/Neutralizing Antibody Rapid Test Kit (Colloidal Gold),joysbio iggneutralizing antibody rapid colloidal gold,,"JOYSBIO(TIANJIN) BIOTECHNOLOGY CO., LTD.",joysbiotianjin biotechnology ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0025,,,,,IDN0025,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,678,678,,SmartAmp SARS-CoV-2,smartamp  ,,K.K. DNAFORM,kk dnaform,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,365,365,,KANEKA Direct RT-PCR kit SARS-CoV-2,kaneka direct ,,KANEKA CORPORATION,kaneka corporation,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1354,1354,RTL607211,Karwa COVID-19 RT LAMP Diagnostic Kit,karwa  lamp diagnostic ,,"Karwa Enterprises Private Limited, Delhi",karwa enterprises private limited delhi,,,,,,,,,,,,,,,,,,,,,IND0508,,,,,IND0508,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1355,1355,20200213,Karwa SARS-CoV-2 Nucleic Acid Detection Kit,karwa nucleic acid detection ,,"Karwa Enterprises Private Limited, Delhi",karwa enterprises private limited delhi,,,,,,,,,,,,,,,,,,,,,IND0509,,,,,IND0509,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1191,1191,A06201 A06202 A06203,KAVACH Karwa SARS-COV 2 IgG ELISA,kavach karwa igg elisa,,"Karwa Enterprises Pvt. Ltd, Delhi, India",karwa enterprises pvt  delhi india,,,,,,,,,,,,,,,,,,,,,IND0251,,,,,IND0251,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,370,370,,KDx Rapid SARS-CoV-2 Antigen Test,kdx rapid antigen ,,Kephera Diagnostics,kephera diagnostics,USA,#N/A,USA,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,545,545,,RADI COVID-19 Ag Rapid Test,radi  ag rapid ,,KH Medical Co. Ltd,kh medical ,Republic of Korea,#N/A,Republic of Korea,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,http://www.khmedical.co.kr/covid05.php,http://www.khmedical.co.kr/covid05.php,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,546,546,RV008,RADI COVID-19 Detection Kit,radi  detection ,100T/kit,KH Medical Co. Ltd,kh medical ,#N/A,#N/A,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0175,,,,,IND0175,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1356,1356,CoV-19/V2/2020/01,TRUPCR SARS-CoV-2RT-qPCR kit version 2,trupcr  qpcr  version 2,,"KILPEST (3B BlackBio Biotech India Ltd., Bhopal, India)",kilpest 3b blackbio biotech india  bhopal india,,,,,,,,,,,,,,,,,,,,,IND0510,,,,,IND0510,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1244,1244,Cov-19 Ag-V3/01 Cov-19 Ag-V3/02Cov-19 Ag-V3/03,TRURAPID Covid-19 Ag Test Kit,trurapid  ag  ,,"Kilpest India Ltd., Bhopal (Madhya Pradesh), India",kilpest india  bhopal madhya pradesh india,,,,,,,#N/A,,,,,,,,,,,,,,IND0332,,,,,IND0332,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,374,374,KF2019CoV01,KimForest SARS-CoV-2 Detection Kit v1,kimforest detection  v1,96T/kit,"KimForest Enterprise Co., Ltd.",kimforest enterprise ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1202,1202,2025 2035 2045,COVID-19 IgG ELISA kit, igg elisa ,,"KJB Diagnostics, Hyderabad (Telangana), India",kjb diagnostics hyderabad telangana india,,,,,,,,,,,,,,,,,,,,,IND0262,,,,,IND0262,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,612,612,,SARS-CoV-2 Antigen Lateral Flow Assay,  antigen lateral flow assay,,"Koch Biotechnology (Beijing) Co., Ltd",koch biotechnology beijing ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,507,507,R6900TD,PowerChek™ 2019-nCoV Real- time PCR Kit,powerchek 2019 real  time ,,Kogene Biotech Co Ltd (Korea - Republic of),kogene biotech  korea  republic of,#N/A,#N/A,,,US FDA EUA TGA,,,TRUE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1357,1357,1R6902200602,Powercheck SARS CoV-2 RT PCR Kit,powercheck ,,"Kogene Biotech Co. Ltd, Seoul, Korea (Kin Diagnostics)",kogene biotech  seoul korea kin diagnostics,,,,,,,,,,,,,,,,,,,,,IND0511,,,,,IND0511,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1358,1358,R6900TD200423,Power Check 2019 nCoV Real Time PCR Kit,power check 2019 real time ,,"Kogene Biotech, Seoul, Korea",kogene biotech seoul korea,,,,,,,,,,,,,,,,,,,,,IND0512,,,,,IND0512,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,367,367,,KBM LineCheck nCoV (Stick Type),kbm linecheck stick type,10T/Kit,"KOHJIN BIO CO., LTD.",kohjin bio ,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,,,,#N/A,$7.00,#N/A,$7.00,,IND0176,,,,,IND0176,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,368,368,,KBM LineCheck nCoV / flu,kbm linecheck  flu,,"KOHJIN BIO CO., LTD.",kohjin bio ,Japan,#N/A,Japan,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,366,366,,KBM line check nCoV (stick type),kbm line check stick type,,"Kojin Bio Co., Ltd.",kojin bio ,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,369,369,,KBM LineCheck nCoV/Flu,kbm linecheck ncovflu,,"Kojin Bio Co., Ltd.",kojin bio ,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1238,"1238, 1129",CAG-TLB-001 CAG-TLB-002 CAG-TLB-003,SARS-CoV2 rapid Test Kit, cov2 rapid  ,,"KoshBio Pvt. Ltd., Faridabad (Haryana), India",koshbio pvt  faridabad haryana india,,,,,,,#N/A,,,,,,,,,,,,,,IND0326,,,,,"IND0326, IND0060",,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1149,1149,OD060122/01,"KIRIDA Novus SARS-CoV-2
Real-Time PCR kit- Omicron
detection kit",kirida novus  real time omicrondetection ,,"Kriya Medical Technologies Pvt.
Ltd.",kriya medical technologies pvt,,,,,,,,,,,,,,,,,,,,,IND0117,,,,,IND0117,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1359,1359,RPCR200401,Accucare COVID-19 One-step RT-pCR kit,accucare  one step ,,"Lab Care Diagnostics (India) Pvt. Ltd., Mumbai, India",lab care diagnostics india pvt  mumbai india,,,,,,,,,,,,,,,,,,,,,IND0513,,,,,IND0513,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1161,1161,CVC 200401,"ACCUCARE IgM/IgG Lateral Flow
Assay kit ",accucare igmigg lateral flowassay  ,,"Lab Care Diagnostics India Pvt. Ltd,
Mumbai (Maharashtra), India ",lab care diagnostics india pvt mumbai maharashtra india ,,,,,,,,,,,,,,,,,,,,,IND0221,,,,,IND0221,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1360,1360,CVA 20E001,LabGun COVID-19 Assay plus,labgun  assay plus,,"Lab Genomics Co Ltd, Republic of Korea (Siemens Healthcare Private Limited)",lab genomics  republic of korea siemens healthcare private limited,,,,,,,,,,,,,,,,,,,,,IND0514,,,,,IND0514,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1361,1361,COV20D001 COV20D002 COV20D004 COV20D006,LabGun Real Time PCR Kit,labgun real time ,,"Lab Genomics Co Ltd, Republic of Korea (Siemens Healthcare Private Limited)",lab genomics  republic of korea siemens healthcare private limited,,,,,,,,,,,,,,,,,,,,,IND0515,,,,,IND0515,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1193,1193,CVEG200601 CVEG200602 CVEG200603,Novel Coronavirus COVID-19 IgG ELISA,novel coronavirus  igg elisa,,"Lab-Care Diagnostics (India) Pvt. Ltd., Valsad (Gujarat), India",labcare diagnostics india pvt  valsad gujarat india,,,,,,,,,,,,,,,,,,,,,IND0253,,,,,IND0253,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,169,169,,COVID-19 Antigen Lateral Flow Test Device, antigen lateral flow  device,,"LabCare Diagnostics Ltd., Valsad (Gujarat), India",labcare diagnostics  valsad gujarat india,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0061,,,,,IND0061,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1216,1216,CVG200601 CVG200602 CVG200603,Accucare COVID-19 Antigen Lateral Test Device,accucare  antigen lateral  device,,"LabCare Diagnostics Ltd., Valsad (Gujarat), India (Supplied by MyLab Discovery Solutions)",labcare diagnostics  valsad gujarat india supplied mylab discovery solutions,,,,,,,#N/A,,,,,,,,,,,,,,IND0276,,,,,IND0276,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,375,375,,"LabGun™ COVID-19 RT-PCR
Kit",labgun  ,96T/kit,LabGenomics,labgenomics,#N/A,#N/A,,,US FDA EUA TGA,,,TRUE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0516,,,,,IND0516,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,943,943,,Labgun Covid 19 Real Time PCR Test Kit,labgun  real time  ,,Labgenomics Co Ltd,labgenomics ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0090,,,,,ZAF0090,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,605,605,,SARS-CoV-2 Antigen & Influenza A/B Rapid Test Kit,  antigen  influenza ab rapid  ,,Labnovation Technologies Inc.,labnovation technologies ,China,#N/A,China,Test in development or commercialized,,,#N/A,,,,,,#N/A,http://www.labnovation.com/products/1410.html,http://www.labnovation.com/products/1410.html,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,618,618,,SARS-CoV-2 Antigen Rapid Test Kit,  antigen rapid  ,,Labnovation Technologies Inc.,labnovation technologies ,China,#N/A,China,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1053,1053,,"SARS-CoV-2 Antigen Rapid Test (Immunochromatography)
(Self-test kit",  antigen rapid  immunochromatographyself  ,,"Labnovation Technologies, Inc. – 101 and 5th Floor, Building 1, No. 68, 18th Road, Guangming Hi-Tech Park, Tangjia Community, Fenghuang Street, Guangming District, Shenzhen 518107, China",labnovation technologies 1015th floor building 1 no 68 18th road guangming hitech park tangjia community fenghuang street guangming district shenzhen 518107 china,#N/A,#N/A,,,,,#N/A,,,,,,,,,,,,,,,,,PHL0155,,,,,PHL0155,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,384,384,,Look Spot COVID-19 Antigen Rapid Test,look spot  antigen rapid ,,Laipac Technology Inc.,laipac technology ,Canada,#N/A,Canada,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://secureservercdn.net/198.71.233.68/3ph.5f4.myftpupload.com/wp-content/uploads/2021/03/Instruction-of-Use-LooK-SPOT-v4.3.pdf,https://secureservercdn.net/198.71.233.68/3ph.5f4.myftpupload.com/wp-content/uploads/2021/03/Instruction-of-Use-LooK-SPOT-v4.3.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,191,191,,COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay), antigen dry fluorescence immunoassay,,"Lansion Biotechnology Co., Ltd",lansion biotechnology ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,http://en.lansionbio.com/article/type/383_1.html,http://en.lansionbio.com/article/type/383_1.html,#N/A,#N/A,#N/A,,,,,,PHL0083,,,,,PHL0083,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,377,377,,Leadgene SARS/SARS-CoV-2 Antigen Rapid Test Kit,leadgene antigen rapid  ,,"Leadgene Biomedical, Inc.",leadgene biomedical ,Taiwan,#N/A,Taiwan,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,619,619,,SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold Immunochromatography),  antigen rapid colloidal gold immunochromatography,,"Lepu Medical Technology (Beijing) Co., Ltd.",lepu medical technology beijing ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://en.lepumedical.com/products/sars-cov-2-antigen-rapid-test-kit-colloidal-gold-immunochromatography/,https://en.lepumedical.com/products/sars-cov-2-antigen-rapid-test-kit-colloidal-gold-immunochromatography/,#N/A,#N/A,#N/A,,,,,ZAF0217,,,,,ZAF0217,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,98,98,,"Biosearch Technologies SARS- CoV-2
Real-Time and End-Point RT- PCRTest",biosearch technologies real time and end point  pcrtest,96T/kit,LGC Biosearch Technologies,lgc biosearch technologies,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,899,899,,Test-it CoV-2 Rapid Test Cassette,test it  rapid  cassette,,Life Assay Diagnostics (Pty) Ltd ,life assay diagnostics pty  ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0024,,,,,ZAF0024,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,994,994,,"TaqPath COVID-19, FluA, FluB Combo Kit",taqpath  flua flub combo ,,Life Technologies Corporation (Pleasanton),life technologies corporation pleasanton,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0160,,,,,ZAF0160,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,928,928,,TaqPath™ COVID-19 CE-IVD RT-PCR Kit,taqpath  ce ivd ,,Life Technologies Corporation (Pleasanton),life technologies corporation pleasanton,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0069,,,,,ZAF0069,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,930,930,,TaqPath™ COVID-19 Combo Kit 100,taqpath  combo  100,,Life Technologies Corporation (Pleasanton),life technologies corporation pleasanton,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0071,,,,,ZAF0071,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,929,929,,TaqPath™ COVID-19 Combo Kit 1000,taqpath  combo  1000,,Life Technologies Corporation (Pleasanton),life technologies corporation pleasanton,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0070,,,,,ZAF0070,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,705,705,,TaqPath COVID-19 Combo Kit,taqpath  combo ,,Life Technologies Corporation (USA) (see also ThermoFisher),life technologies corporation usa see also thermofisher,#N/A,#N/A,,,TGA PMDA,,,FALSE,FALSE,FALSE,TRUE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1033,1033,,TaqPath COVID-19 CE-IVD RT-PCR Kit,taqpath  ce ivd ,,"Life Technologies Corporation-6055 Sunol Blvd. Pleasanton, California 94566 USA",life technologies corporation6055 sunol blvd pleasanton california 94566 usa,#N/A,USA,,,,,,,,,,,,,,,,,,,,,,PHL0048,,,,,PHL0048,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1030,1030,,"TaqPath COVID-19, FluA, FluB Combo Kit",taqpath  flua flub combo ,,"Life Technologies Corporation-6055 Sunol Blvd. Pleasanton, California 94566 USA",life technologies corporation6055 sunol blvd pleasanton california 94566 usa,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0044,,,,,PHL0044,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1362,1362,VLC20002,LS COVID-19 RT-qPCR kit,ls  qpcr ,,"Lifespan Biotech Pvt Ltd, Madhya Pradesh, India",lifespan biotech pvt  madhya pradesh india,,,,,,,,,,,,,,,,,,,,,IND0517,,,,,IND0517,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1363,1363,LSMX20200621,LS COVID-19 RT-qPCR Multiplex Kit,ls  qpcr multiplex ,,"Lifespan Biotech Pvt Ltd, Madhya Pradesh, India",lifespan biotech pvt  madhya pradesh india,,,,,,,,,,,,,,,,,,,,,IND0518,,,,,IND0518,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1364,1364,LIPO-001,Lipomic COVID-19 multiplex RealtimeRT-PCR Kit,lipomic  multiplex realtimert ,,"Lipomic Healthcare Pvt. Ltd., New Delhi",lipomic healthcare pvt  new delhi,,,,,,,,,,,,,,,,,,,,,IND0519,,,,,IND0519,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1365,1365,C19300320,Art Test COVID-19 kit,art ,,LLC Art Biotech, art biotech,,,,,,,,,,,,,,,,,,,,,IND0520,,,,,IND0520,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,64,64,,Basall Family Test 2019-nCov Antigen,basall family  2019 antigen,,LMG - Laser Medical Group,lmg  laser medical group,Brazil,#N/A,Brazil,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351672565202096/anexo/A2452544/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351672565202096/anexo/A2452544/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,635,635,,SARS-CoV-2 N-Protein Antigen Rapid Test,  protein antigen rapid ,,LOMINA AG,lomina ag,Czech Republic,#N/A,Czech Republic,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://www.lomina.ch/src/Frontend/Files/FileExtend/source/8_1610469567.pdf,https://www.lomina.ch/src/Frontend/Files/FileExtend/source/8_1610469567.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,386,386,,LordMed COVID-19 Ag Test Kit,lordmed  ag  ,,Lord’s Mark Industries Private Ltd,lords mark industries private ,India,#N/A,India,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0325,,,,,IND0325,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1130,1130,"LORDSMED-001 LORDSMED-002
LORDSMED-003",LordMed COVID-19 Ag Test Kit,lordmed  ag  ,,"Lord’s Mark Industries Pvt.Ltd. , Mumbai (Maharashtra), India",lords mark industries pvt  mumbai maharashtra india,,,,,,,#N/A,,,,,,,,,,,,,,IND0062,,,,,IND0062,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,387,387,810055970056,Lucira COVID-19 All-In-One Test Kit,lucira  all in one  ,24T/kit,"Lucira Health, Inc.",lucira health ,#N/A,#N/A,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,51,51,50-10047,"ARIES® SARS-CoV-2 Assay
Kit",aries assay ,24T/kit,Luminex Corporation,luminex corporation,#N/A,#N/A,,#N/A,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,466,466,I054C0463,NxTAG® CoV Extended Panel Assay,nxtag  extended panel assay,96T/kit,"Luminex Molecular Diagnostics, Inc.",luminex molecular diagnostics ,#N/A,#N/A,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,128,128,,Clip COVID Rapid Antigen Test,clip  rapid antigen ,25T/kit,"Luminostics, Inc",luminostics ,#N/A,#N/A,,#N/A,US FDA EUA,,#N/A,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,129,129,,CLIP-COVID19 (smartphone-read out high sensivity antigen detection test),clip 19 smartphone read out high sensivity antigen detection ,,"Luminostics, Inc.",luminostics ,USA,#N/A,USA,Test approved by one or more SRA,,,#N/A,,,,,,#N/A,https://www.fda.gov/media/144256/download,https://www.fda.gov/media/144256/download,#N/A,#N/A,#N/A,,,IND0177,,,,,IND0177,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,302,302,GCRNA-COVID-96R,Genecount Covid-19 Rt-Qpcr Assay Kit,genecount  qpcr assay ,,Luminultra Technologies Ltd. (Canada),luminultra technologies  canada,#N/A,#N/A,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,539,539,,QuickProfile COVID-19 ANTIGEN Test,quickprofile  antigen ,,LumiQuick Diagnostics Inc.,lumiquick diagnostics ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://filgen.jp/Product/Bioscience4/LumiQuick/71110B-IFU%20E1R1_COVID-19_Antigen_Test%20Strip-IFU_25917.pdf,https://filgen.jp/Product/Bioscience4/LumiQuick/71110B-IFU%20E1R1_COVID-19_Antigen_Test%20Strip-IFU_25917.pdf,#N/A,#N/A,#N/A,,,,,,PHL0082,,,,,PHL0082,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1058,1058,,QuickProfile COVID-19 IgG/IgM Combo Test Card,quickprofile  iggigm combo  card,,"LumiQuick Diagnostics, Inc.– 2946 Scott Blvd. Santa Clara, CA 95054, USA",lumiquick diagnostics  2946 scott blvd santa clara ca 95054 usa,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0149,,,,,PHL0149,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,392,392,L018180030096,LumiraDx SARS-CoV-2 RNA STAR,lumiradx rna star,,LumiraDx UK Ltd,lumiradx uk ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,393,393,L018180130096,LumiraDx SARS-CoV-2 RNA STAR Complete,lumiradx rna star complete,,LumiraDx UK Ltd,lumiradx uk ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,391,391,,LumiraDx SARS-CoV-2 Ag Test,lumiradx ag ,25T/kit,LumiraDx UK Ltd.,lumiradx uk ,United Kingdom,United Kingdom,United Kingdom,Test that meet WHO TPP according to external evaluation,US FDA EUA,,CE-IVD,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/141304/download,https://www.fda.gov/media/141304/download,https://www.fda.gov/media/141304/download,#N/A,,#N/A,,,IND0178,,ZAF0236,,,IND0178,,ZAF0236,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,228,228,,CoviDx SARS-CoV-2 Rapid Antigen Test,x rapid antigen ,,Lumos Diagnostics,lumos diagnostics,USA,#N/A,USA,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,229,229,CP0023,"COVIDx-SARS-CoV-2 Rapid
Antigen Test Kit",x rapidantigen  ,25T/kit,Lumos Diagnostics Ata Rapid Pathogen Screening Inc Ata Lumos Diagnostics Inc (United States),lumos diagnostics ata rapid pathogen screening  ata lumos diagnostics  united states,#N/A,#N/A,,#N/A,Health Canada/Interim Order,,#N/A,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1366,1366,RTPCR0520AB2 1,MJ Coronavirus (COVID-19) RT-qPCR Kit,mj coronavirus  qpcr ,,M.J.BiopharmPvt. Ltd,mjbiopharmpvt ,,,,,,,,,,,,,,,,,,,,,IND0521,,,,,IND0521,,,,
