,"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,"vlookup to ""CE-markted tests""","ISNUMBER(SEARCH(""US FDA EUA"", R1))","ISNUMBER(SEARCH(""Health Canada/Interim Order"", R1))","ISNUMBER(SEARCH(""WHO EUL"", R1))","ISNUMBER(SEARCH(""PMDA"", R1))","ISNUMBER(SEARCH(""TGA"", R1))",ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,33,462,146,174,101,
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,530,530,39433,Quest SARS-CoV-2 rRT-PCR Kit,QuestSARSCoV2rRTPCRKit,quest rrt,96T/kit,Quest Diagnostics Infectious Disease Inc,quest diagnostics infectious disease,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,531,531,,Quick Chaser Auto SARS-CoV- 2,QuickChaserAutoSARSCoV2,quick chaser auto  2,,"Mizuhomedy Co., Ltd.",mizuhomedy,,,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,532,532,,Quick Chaser Auto SARS-CoV-2,,quick chaser auto,,"Mizuho Medy Co., Ltd",mizuho medy,Japan,Japan,Japan,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,,,,IND0180,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,533,533,,Quick Chaser SARS-CoV-2 / Flu,,quick chaser  flu,,"Mizuho Medy Co., Ltd",mizuho medy,Japan,,Japan,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,534,534,,"Quick Chaser SARS-CoV-2 / Flu A, B",,quick chaser  flu b,,"Mizuho Medy Co., Ltd",mizuho medy,Japan,,Japan,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,535,535,R3011 R3011-1K R3011-10K,Quick SARS-CoV-2 rRT-PCR Kit,,quick rrt,,Zymo Research Corp,zymo research corp,,,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,Yes
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,536,536,,QuickNavi- Flu+COVID19 Ag,QuickNaviFlu+COVID19Ag,quicknavi  flu19 ag,,Denka Seiken Co. Ltd,denka seiken,Japan,Japan,Japan,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,$0.00,,,,IND0153,,,,
23,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,537,537,,QuickNavi-COVID19 Ag,,quicknavi 19 ag,10T/Kit,"Denka Co., Ltd.",denka,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,55,,,,IND0154,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,538,538,,QuickNavi-Flu+COVID19 Ag,,quicknavi flu19 ag,,"Denka Co., Ltd.",denka,,,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,539,539,,QuickProfile COVID-19 ANTIGEN Test,,quickprofile  antigen,,LumiQuick Diagnostics Inc.,lumiquick diagnostics,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,PHL0082,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,540,540,,QuickVue At-Home COVID-19 Test,,quickvue at home,,Quidel Corporation,quidel corporation,USA,USA,USA,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/146312/download,https://www.fda.gov/media/146312/download,,,$0.00,,,,IND0193,,,,
25,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,541,"541, 1157",20402,QuickVue At-Home OTC COVID-19 Test | QuickVue At-Home OTC COVID-19 Test,,quickvue at home otc,2T/Kit,Quidel Corporation | Quidel Corporation,quidel corporation,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/147250/download,https://www.fda.gov/media/147250/download,| http://www.quidel.com/,,$12.00,,,,IND0194,,,,
26,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,542,"542, 543",20387 | 20396,QuickVue SARS Antigen Test | QuickVue SARS Antigen Test,,quickvue  antigen,25T/kit,Quidel Corporation | Quidel Corporation,quidel corporation,,,,,US FDA EUA | Health Canada/Interim Order,,,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,|,,,,,,IND0195,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,544,544,,RabWiz Ultra Sensitive COIV-19 Viral Antigen Test Kit (ELISA),,rabwiz ultra sensitive coiv 19 viral antigen elisa,,Abwiz Bio,abwiz bio,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,545,545,,RADI COVID-19 Ag Rapid Test,,radi  ag rapid,,KH Medical Co. Ltd,kh medical,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,546,546,RV008,RADI COVID-19 Detection Kit,,radi  detection,100T/kit,KH Medical Co. Ltd,kh medical,,,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IND0175,,,,Yes
23,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,547,547,A-RAPCOV01,RapCov™ Rapid COVID-19 Test,,rap rapid,see IFU,Advaite,advaite,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
24,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,548,548,,RapiCov rapid Ag Test kit,RapiCovrapidAgTestkit,rapi rapid ag,,"Genes2me Pvt Ltd, Gurugram, Haryana",genes2me pvt  gurugram haryana,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,IND0321,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,549,549,,Rapid Covid 19 Ag kit,,rapid  ag,,Bio Lab Diagnostics Pvt Ltd,bio lab diagnostics pvt,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IND0303,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,550,550,,Rapid COVID-19 Antigen Test,,rapid  antigen,,Healgen Scientific LLC,healgen scientific,USA,,USA,Test that meet WHO TPP according to external evaluation,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,551,551,,Rapid COVID-19 IgM/IgG Combo Test Kit,,rapid  igmigg combo,see IFU,"Megna Health, Inc.",megna health,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,552,552,,Rapid Response COVID-19 Antigen Rapid Test Device,,rapid response  antigen rapid  device,,BTNX Inc.,btnx,Canada,,Canada,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
26,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,553,553,COV-13C25,Rapid Response COVID-19 IgG/IgM Rapid Test Device,RapidResponseCOVID19IgGIgMRapidTestDevice,rapid response  iggigm rapid  device,see IFU,Btnx Inc. (Canada),btnx  canada,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,IDN0080,,,Yes
24,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,554,"554, 555, 556, 557",2070088301 | 2070089201 | SWB-19 | COV-19C25,Rapid Response™ COVID-19 Antigen Rapid Test Device | Rapid Response™ COVID-19 Antigen Rapid Test Device | Rapid Response™ COVID-19 Antigen Rapid Test Device | Rapid Response™ COVID-19 Antigen Rapid Test Device,,rapid response antigen rapid  device,,BTNX Inc | BTNX Inc | BTNX Inc | BTNX Inc,btnx,,,,,"Health Canada | Health Canada | Health Canada | TGA
 Health Canada",,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,|  |  |,,,,,,IND0147,,,,Yes
26,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,558,558,,Rapid SARS-CoV-2 Antigen Test Card,RapidSARSCoV2AntigenTestCard,rapid antigen  card,,MP Biomedicals Asia Pacific Pte Ltd (Singapore),mp biomedicals asia pacific   singapore,USA,,USA,Test in development or commercialized,TGA,,CE-IVD,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IDN0063,,,Yes
28,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,559,"559, 560, 561, 562",61254 | 9167 | 1N40C5 | 1N40T0,Rapid SARS-CoV-2 Antigen Test Card | Rapid SARS-CoV-2 Antigen Test Card | Rapid SARS-CoV-2 Antigen Test Card | Rapid SARS-CoV-2 Antigen Test Card,,rapid antigen  card,20T/Box,"Xiamen Boson Biotech Co., Ltd. (China) | Xiamen Boson Biotech Co., Ltd. (China) | Xiamen Boson Biotech Co., Ltd. (China) | Xiamen Boson Biotech Co., Ltd. (China)",xiamen boson biotech  china,,,,,Health Canada/Interim Order | Health Canada/Interim Order | Health Canada/Interim Order | Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf | https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,|  |  |,,,,,,IND0217,IDN0029,ZAF0188,,Yes
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,563,563,,Rapid Test Ag 2019-nCoV,,rapid  ag 2019 ncov,,ProGnosis Biotech,prognosis biotech,Greece,,Greece,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,ZAF0200,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,564,564,,Rapidfor SARS-CoV-2 Ag Test Kit,RapidforSARSCoV2AgTestKit,rapidfor ag,,Vitrosens Biyoteknoloji Ltd. Sti.,vitrosens biyoteknoloji  sti,Turkey,,Turkey,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
24,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,565,565,,RapidTesta SARS-CoV-2,RapidTestaSARSCoV2,rapidtesta,,"SEKISUI MEDICAL CO., LTD.",sekisui medical,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,$0.00,,,,IND0207,,,,Yes
26,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,566,566,BS7nCoV,Real-Q 2019-nCoV Detection Kit,RealQ2019nCoVDetectionKit,real 2019 detection,100T/kit,BioSewoom,biosewoom,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IND0444,,,,Yes
27,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,567,567,MFG030011,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- 2019-nCoV,RealTimeFluorescentRTPCRKitforDetectingSARS2019nCoV,real time fluorescent detecting 2019 ncov,50T/kit,BGI Europe A/S,bgi europe as,,,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IND0143,,ZAF0079,,Yes
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,568,568,,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- 2019-nCoV,,real time fluorescent detecting 2019 ncov,50T/kit,BGI Genomics Co. Ltd,bgi genomics,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,IND0434,,ZAF0083,,Yes
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,569,569,,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- Cov-2 (2 gene),RealTimeFluorescentRTPCRKitforDetectingSARSCov22gene,real time fluorescent detecting  2 gene,,BGI Europe A/S (distributed by BGI Health (AU) Company Pty Ltd),bgi europe as distributed bgi health au company pty,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,570,570,821025,RealStar® SARS-CoV-2 RT- PCR Kit U.S.,,realstar us,384T/kit,Altona Diagnostics GmbH,altona diagnostics gmbh,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,Yes
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,571,571,,"rebranded by Telepoint Medical Services, LLC",,rebranded by telepoint medicalservices llc,25T/kit,"Xiamen Biotime Biotechnology Co., Ltd. (China)  distributed by Telepoint Medical  Services, LLC",xiamen biotime biotechnology  china distributed telepoint medical services,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,572,572,,reOpenTest COVID-19 Antigen Rapid Test,,reopentest  antigen rapid,,Hangzhou Fenhe Technology Co. Ltd,hangzhou fenhe technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,573,573,,ReSARS CoV-2 Antigen ELISA Kit,ReSARSCoV2AntigenELISAKit,re  antigen elisa,,"Zalgen Labs, LLC",zalgen labs,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,574,574,,ReSARS CoV-2 Antigen Rapid Test,ReSARSCoV2AntigenRapidTest,re  antigen rapid,,"Zalgen Labs, LLC",zalgen labs,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,575,575,,ReSARS Pan-Corona Antigen ELISA Kit,ReSARSPanCoronaAntigenELISAKit,re pan corona antigen elisa,,"Zalgen Labs, LLC",zalgen labs,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,576,576,,Resilient & Rápido Direct Read SARS-CoV-2 Antigen Influenza A/B Test,,resilient  rpido direct read antigen influenza ab,,Resilient Supplier,resilient supplier,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,577,577,,Resilient & Rápido Direct Read SARS-CoV-2 Antigen Test Cassette KIT,,resilient  rpido direct read antigen  cassette,,Resilient Supplier,resilient supplier,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,578,578,,Resilient Rápido Direct Read SARS-CoV-2 Antigen Paper-Strip Test Kit,ResilientRápidoDirectReadSARSCoV2AntigenPaperStripTestKit,resilient rpido direct read antigen paper strip,,Resilient Supplier,resilient supplier,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
22,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,579,579,,RESOLUTE 2.0,,resolute 20,,AMT Pte Ltd (Singapore),amt   singapore,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,Yes
22,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,580,580,,Resolute 2.0 SARS CoV-2 Detection Kit,,resolute 20 detection,see IFU,Accelerate Technologies Pte Ltd (DxD Hub),accelerate technologies   dxd hub,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,581,581,,Reszon COVID-19 Rapid Antigen Test,ReszonCOVID19RapidAntigenTest,reszon  rapid antigen,,Reszon Diagnostics International Sdn Bhd,reszon diagnostics international sdn bhd,Malaysia,,Malaysia,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,582,582,410700,Revogene SARS-CoV-2 assay,RevogeneSARSCoV2assay,revogene assay,,Meridian,meridian,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,583,583,KCCOV19-24,Rheonix COVID-19 MDx Assay,,rheonix  mdx assay,96T/kit,Rheonix,rheonix,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,,,,,,,,,,,Yes
