,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Score,Top P Match UIDs,Matching P Tags,Top P Score Reports,Top M Match Score,Top M Match UIDs,Matching M Tags,Top M Score Reports,Top Agg Match (P*M),Top Agg Match UIDs
437,437,12874,24-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SHAMAS SCIENTIFIC TRADERS,P 481 SADDIQ PLAZA JINNAH COLONY FAISALABAD,PK - Pakistan,.,.,.,.,ZHEJIANG ORIENT GENE BIOTECH CO LTD,,China,16000.0,0.0,USD,0.0,,0.0,,10000.0,KG,1. DIAGNOSTIC REAGENT ICT KIT FOR CORONA VIRUS RAPID TEAST CASSATTE SARS COV 2  WITH SWAB  FOR COVID 19  LOT NO 2107262  EXP 072023. BRAND HEALGEN ORIGIN CHINA QTY 10 000 NOS14,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,438,Pakistan Trade Atlas All 2021 HS 382200.csv,28,1069,"rapid,swab,healgen","{'healgen': 20, 'rapid': 4, 'swab': 4, '': '1ea'}",4.0,138 | 376,"gene,zhejiang,orient,biotech | gene,zhejiang,orient,biotech", | ,16.0,138 | 376
438,438,12878,24-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEM,"45 MEZ FLOOR, NOBLE HEIGHTSMAIN UNIVERSITY ROAD KARACHI PAKISTAN",PK - Pakistan,.,.,.,.,AESKU DIAGNOSTICS GMBH & CO KG,,,1658.91,0.0,USD,0.0,,0.0,,100.0,KG,840003 AESKU R SARSCOV2 RTEST KIT 100 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,439,Pakistan Trade Atlas All 2021 HS 382200.csv,1,78 | 49 | 764 | 519 | 1333 | 930 | 428 | 1410 | 208,100 | r | 100 | 100 | 100 | 100 | 100 | r | 100,{'100': '1ea'} | {'r': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'r': '1ea'} | {'100': '1ea'},1.6,766,"gmbh,diagnostics,kg,aesku",,0.2,428
439,439,12879,24-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEM,"45 MEZ FLOOR, NOBLE HEIGHTSMAIN UNIVERSITY ROAD KARACHI PAKISTAN",PK - Pakistan,.,.,.,.,AESKU DIAGNOSTICS GMBH & CO KG,,,13128.06,0.0,USD,0.0,,0.0,,250.0,KG,840001 AESKU R SARSCOV2 RTEST KIT 250 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,440,Pakistan Trade Atlas All 2021 HS 382200.csv,1,49 | 1410,r | r,{'r': '1ea'} | {'r': '1ea'},1.6,766,"gmbh,diagnostics,kg,aesku",,0.0,
440,440,12903,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOORA PHARMA,"G-143, Defence View, Phase-II, Shaheed-e-Millat Expressway,",PK - Karachi,+92 2135388251,+92 2135388249,info@hoorapharma.com,www.hoorapharma.com,SAS ADVANCED BIOLOGICAL,,France,4990.0,0.0,USD,0.0,,0.0,,20.0,KG,165A50 ULTRAGENE ASSAY SARSCOV2 452R484K484Q MUTATIONS V1 50TESTSRUO,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,441,Pakistan Trade Atlas All 2021 HS 382200.csv,4,916 | 1253 | 940 | 834 | 842 | 84 | 380 | 381 | 382 | 1279 | 1280 | 9 | 516 | 606 | 948 | 989 | 913 | 318 | 41 | 25 | 1309 | 1310 | 168 | 1322 | 1323 | 1324 | 508 | 788 | 1339 | 46 | 1017 | 140 | 612 | 1360 | 51 | 466 | 302 | 582 | 1367 | 1383 | 480 | 501 | 993 | 921 | 196 | 898 | 1408 | 682 | 1001 | 1000 | 996 | 583 | 974 | 35 | 36 | 961 | 1004 | 1005 | 1031 | 1414 | 1415 | 1015 | 1422 | 240 | 498 | 321 | 637 | 239 | 250 | 941 | 804 | 803 | 166 | 1067 | 1060 | 1059,assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay,"{'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'} | {'assay': 4, '': '1ea'}",0.8,940,"biological,advanced",,3.2,940
441,441,12955,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",PK - Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,8577.2,0.0,USD,0.0,,0.0,,40.0,KG,ANTISARSCOV2 ELECSYS COBAS E 200 QTY 40 PCS BATCH NO. 57070501 MFG DT. 15.7.21 EXP DT. 31.10.21,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,442,Pakistan Trade Atlas All 2021 HS 382200.csv,21,1241,"cobas,elecsys","{'elecsys': 20, 'cobas': '1ea'}",2.0,131 | 132 | 133 | 252 | 256 | 643 | 647,"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche", |  |  |  |  |  | ,40.0,256
442,442,13023,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",PK - Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,269.36,0.0,USD,0.0,,0.0,,14.0,KG,ANTISARSCOV2 S PC ELECSYS QTY 14 PCS BATCH NO. 55479701 MFG DT. 18.5.21 EXP DT. 31.1.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,443,Pakistan Trade Atlas All 2021 HS 382200.csv,21,914,"elecsys,s","{'elecsys': 20, 's': '1ea'}",2.0,131 | 132 | 133 | 252 | 256 | 643 | 647,"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche", |  |  |  |  |  | ,40.0,256
443,443,13046,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOORA PHARMA,"G-143, Defence View, Phase-II, Shaheed-e-Millat Expressway,",PK - Karachi,+92 2135388251,+92 2135388249,info@hoorapharma.com,www.hoorapharma.com,SIEMENS HEALTHCARE DIAGNOSTICS PRODUCTS GMBH,,Germany,320.0,0.0,USD,0.0,,0.0,,1.0,KG,ITEMS SERIAL NO.187 CENTAUR COV2T 100T,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,444,Pakistan Trade Atlas All 2021 HS 382200.csv,1,309 | 26 | 765,100t | centaur | centaur,{'100t': '1ea'} | {'centaur': '1ea'} | {'centaur': '1ea'},3.0,26 | 61,"siemens,healthcare,diagnostics | siemens,healthcare,diagnostics", | ,3.0,26
444,444,13059,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",THE BIOTECH SCIENTIFIC,ISLAMABAD PAKISTAN,PK - Pakistan,.,.,.,.,NANOHELIX CO LTD,,South Korea,433.0,0.0,USD,0.0,,0.0,,5.0,KG,..SARS COV2 REALHELIX  QRTPCR KITS  V7  100RXNS   LOT NEI1081  EXPIRY 082022   BRAND NAN HELIX   ORIGIN CHINA   TOTAL QTY 70 PCS  WEIGHT  5 KGS.,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,445,Pakistan Trade Atlas All 2021 HS 382200.csv,20,320,helix,"{'helix': 20, '': '1ea'}",0.5,520 | 903 | 956,co | co | co, |  | ,0.0,
445,445,13072,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",PK - Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,26602.45,0.0,USD,0.0,,0.0,,35.0,KG,ANTISARSCOV2 ELECSYS COBAS E 200 QTY 35 PCS BATCH NO. 55435901 MFG DT. 20.5.21 EXP DT. 31.1.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,446,Pakistan Trade Atlas All 2021 HS 382200.csv,21,1241,"cobas,elecsys","{'elecsys': 20, 'cobas': '1ea'}",2.0,131 | 132 | 133 | 252 | 256 | 643 | 647,"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche", |  |  |  |  |  | ,40.0,256
446,446,13080,23-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",JB SCIENTIFIC,,PK - Pakistan,.,.,.,.,PROCOMCURE BIOTECH GMBH,,Germany,181.65,0.0,USD,0.0,,0.0,,5.0,KG,Phoenix DX SARSCOV2 Mulant Screen L452Q96tests QTY5.00 kit,0.0,,,,,,KPFI,,THAHEEM BROTHERS,,0.0,,,,,,,,,,,447,Pakistan Trade Atlas All 2021 HS 382200.csv,1,1256 | 1255 | 1257 | 999 | 124 | 1303 | 25 | 14 | 13 | 216 | 515,dx | dx | dx | dx | dx | dx | dx | dx | dx | dx | dx,{'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'} | {'dx': '1ea'},1.5,499 | 500,"biotech,gmbh,procomcure | biotech,gmbh,procomcure", | ,0.5,515
447,447,13155,22-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",PK - Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,South Korea,147907.12,0.0,USD,0.0,,0.0,,1112.0,KG,DIAGNOSTICS REAGENTSSARSCOV2 RAPID AG TEST 25T VARIANT 2  QTY 1112 PCS BATCH NO QCO391090I  QCO391092I  QCO391092I  QCO391094I MFG GT 28.1.21  29.1.21 EXP DT 27.1.23  28.1,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,448,Pakistan Trade Atlas All 2021 HS 382200.csv,8,1040 | 835 | 488 | 486 | 484 | 485 | 276 | 1226 | 1119 | 31 | 39 | 728 | 750 | 549 | 1122 | 1246 | 116 | 830 | 825 | 473 | 471 | 1123 | 248 | 758 | 1124 | 249 | 264 | 1221 | 548 | 1126 | 155 | 156 | 2 | 718 | 5 | 158 | 113 | 414 | 1069 | 320 | 117 | 1242 | 657 | 446 | 476 | 545 | 411 | 726 | 1113 | 733 | 465 | 305 | 478 | 491 | 495 | 506 | 1139 | 563 | 869 | 878 | 865 | 880 | 588 | 1141 | 351 | 1144 | 640 | 641 | 90 | 313 | 242 | 1146 | 355 | 1237 | 1222 | 798 | 799 | 340 | 760 | 138,"rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag | rapid,ag","{'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'} | {'rapid': 4, 'ag': 4, '': '1ea'}",3.0,893 | 911 | 914,"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche", |  | ,8.0,252 | 643 | 647
448,448,13164,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",DIAGNOSTICS SYSTEMS,KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,MESLO LTD,,Cyprus,16395.91,0.0,USD,0.0,,0.0,,25.0,KG,GENESIG REAL TIME PCR COVID19 KIT 96 REACTION EXP DATE.062022 NO.ZPATHCOVID19CE 25 KITS,0.0,,,,,,KPAF,,BABA IMPEX,,0.0,,,,,,,,,,,449,Pakistan Trade Atlas All 2021 HS 382200.csv,3,96 | 296 | 993 | 924 | 196 | 457 | 241 | 651 | 1057,"pcr,real,time | pcr,real,time | genesig,real,time | genesig,real,time | genesig,real,time | pcr,real,time | pcr,real,time | pcr,real,time | pcr,real,time","{'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'}",0.0,,,,0.0,
449,449,13171,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MHK ENTERPRISES,,PK - Pakistan,.,.,.,.,ACON BIOTECH HANGZHOU CO LTD,,China,1577.47,0.0,USD,0.0,,0.0,,960.0,KG,Immunochromatographic Test I.C.TType SARSCoV2 Antigen Rapid Test Quantity 960 Test Packaging 1 TestKit Brand  Flowflex,0.0,,,,,,KPAF,,M/S. E G LOGISTICS,,0.0,,,,,,,,,,,450,Pakistan Trade Atlas All 2021 HS 382200.csv,28,282 | 1038,"flowflex,rapid,antigen | flowflex,rapid,antigen","{'flowflex': 20, 'rapid': 4, 'antigen': 4, '': '1ea'} | {'flowflex': 20, 'rapid': 4, 'antigen': 4, '': '1ea'}",3.0,610 | 282 | 805,"biotech,hangzhou,acon | biotech,hangzhou,acon | biotech,hangzhou,acon", |  | ,84.0,282
450,450,13173,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",JB SCIENTIFIC,,PK - Pakistan,.,.,.,.,EUROFINS AGROSCIENCE SERVICES ECOCH,,Germany,6.79,0.0,USD,0.0,,0.0,,2.0,KG,NGSeq ARTIC SARSCoV2  96 reactions QTY2.00KIT,0.0,,,,,,KPFI,,THAHEEM BROTHERS,,0.0,,,,,,,,,,,451,Pakistan Trade Atlas All 2021 HS 382200.csv,1,949 | 991 | 990 | 289 | 997 | 1314 | 938 | 286,96 | reactions | reactions | 96 | 96 | 96 | 96 | 96,{'96': '1ea'} | {'reactions': '1ea'} | {'reactions': '1ea'} | {'96': '1ea'} | {'96': '1ea'} | {'96': '1ea'} | {'96': '1ea'} | {'96': '1ea'},0.3333333333333333,273,services,,0.0,
451,451,13180,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",JB SCIENTIFIC,,PK - Pakistan,.,.,.,.,NOVATEC IMMUNDIAGNOSTICA GMBH,,Germany,4798.48,0.0,USD,0.0,,0.0,,10.0,KG,PCOV6083T GSD NovaType III SARSCoV2  RTPCR  96 wells QTY10.00 KIT  01 CTN NET WHEIGHT 1.00KG,0.0,,,,,,KPFI,,THAHEEM BROTHERS,,0.0,,,,,,,,,,,452,Pakistan Trade Atlas All 2021 HS 382200.csv,20,317 | 1395,gsd | gsd,"{'gsd': 20, '': '1ea'} | {'gsd': 20, '': '1ea'}",0.5,244 | 188 | 514 | 515,gmbh | gmbh | gmbh | gmbh, |  |  | ,0.0,
452,452,13202,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",JB SCIENTIFIC,,PK - Pakistan,.,.,.,.,EUROFINS AGROSCIENCE SERVICES ECOCH,,Germany,1938.86,0.0,USD,0.0,,0.0,,3.0,KG,VIRSeek SARSCOV2 Mplex  96 reactions QTY3.00 KIT,0.0,,,,,,KPFI,,THAHEEM BROTHERS,,0.0,,,,,,,,,,,453,Pakistan Trade Atlas All 2021 HS 382200.csv,1,949 | 991 | 990 | 289 | 997 | 1314 | 1390 | 1391 | 1392 | 938 | 286,96 | reactions | reactions | 96 | 96 | 96 | mplex | mplex | mplex | 96 | 96,{'96': '1ea'} | {'reactions': '1ea'} | {'reactions': '1ea'} | {'96': '1ea'} | {'96': '1ea'} | {'96': '1ea'} | {'mplex': '1ea'} | {'mplex': '1ea'} | {'mplex': '1ea'} | {'96': '1ea'} | {'96': '1ea'},0.3333333333333333,273,services,,0.0,
453,453,13208,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",JB SCIENTIFIC,,PK - Pakistan,.,.,.,.,EUROFINS GENESCAN TECHNOLOGIES GMBH,,Germany,229.39,0.0,USD,0.0,,0.0,,2.0,KG,VIRType SARSCoV2 L452R  48 wells QTY2.00 KIT,0.0,,,,,,KPFI,,THAHEEM BROTHERS,,0.0,,,,,,,,,,,454,Pakistan Trade Atlas All 2021 HS 382200.csv,1,1263 | 285,wells | 48,{'wells': '1ea'} | {'48': '1ea'},0.6666666666666666,80,"gmbh,technologies",,0.0,
454,454,13211,21-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MHK ENTERPRISES,,PK - Pakistan,.,.,.,.,ACON BIOTECH HANGZHOU CO LTD,,China,1154.56,0.0,USD,0.0,,0.0,,800.0,KG,Immunochromatographic Test I.C.TType SARSCoV2 Antigen Rapid Test Quantity 800 Test Packaging 25 TestKit Brand  Flowflex,0.0,,,,,,KPAF,,M/S. E G LOGISTICS,,0.0,,,,,,,,,,,455,Pakistan Trade Atlas All 2021 HS 382200.csv,28,282 | 1038,"flowflex,rapid,antigen | flowflex,rapid,antigen","{'flowflex': 20, 'rapid': 4, 'antigen': 4, '': '1ea'} | {'flowflex': 20, 'rapid': 4, 'antigen': 4, '': '1ea'}",3.0,610 | 282 | 805,"biotech,hangzhou,acon | biotech,hangzhou,acon | biotech,hangzhou,acon", |  | ,84.0,282
