NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB
109,LABINDIA INSTRUMENTS PVT. LTD.,"201 Nand Chambers, Near Vandana Cinema,L B S Marg,, 400602","Panc,Thane,,Maharashtra",5335389/5335940,.,karandikaraa@labindia.com,.
110,MINDRAY MEDICAL INDIA PRIVATE LIMITED,"B-404, City Point, Andheri Kurla, Road, Andheri (E),, 400059","Mumbai, Maharashtra",02240200000/02240200,.,vareesh.saxena@mindray.com,.
111,MOUNT BIOSCIENCES,"31B, ESWARIPURI COLONY,  SAINIKPURI,",SECUNDERABAD. AP.,.,.,.,.
112,"CHARLES RIVER LABORATORIES INDIA PVT.LTD,","NO.907,BARTON CENTRE,84, M.G.ROAD,",BANGALORE,.,.,.,.
113,BIONEEDS INDIA PVT. LTD.,"Devarhosahally, Somapura Hoblı Nelamangala Taluk , ","Banagalore Rural Dıst., Karnataka",.,.,.,.
114,"KDH BIOMEDICALS PVT LTD.,","601 EXCLUSIVE APARTMENT CO-OP. HSG.OPP. IIT MAIN GATE, POWAI",MUMBAI,.,.,.,.
115,BIOCON BIOLOGICS INDIA LIMITED.,.,IN - India,.,.,.,.
116,"BIOCON LIMITED,","20TH K M, HOSUR ROAD,ELECTRONIC CITY P.O,",BANGALORE,.,.,.,.
117,"CRYSTAL BIO EQUIPMENT,","NO.20, 1ST CROSS, SAMPIGE ROAD,MALLESWARAM,",BANGALORE,.,.,.,.
118,INTAS PHARMACEUTICALS LTD.,"Corporate House, Near Sola Bridge, S. G. Highway, Thaltej, Ahmedabad – 380054. Gujarat.",India,+91 79 6157 7000,.,generalqueries@intaspharma.com,www.intaspharma.com
119,KUEHNE + NAGEL PVT.LTD.,"91, BIJWASAN ROAD,KAPASHERA",NEW DELHI,.,.,.,.
120,"PEERLESS BIOTECH PRIVATE LTD.,","BLOCK-C, 36/37, MILLENIUM HOUSE,M.K.S.NAGAR MAIN ROAD, 140, OLD","MAHABALIPURAM ROAD, CHENNAI",.,.,.,.
121,"SIRUS BIOCARE PRIVATE LIMITED,","FLAT NO.3, MOUMITA APARTMENT,307, JESSORE ROAD,","KOLKATA, W.B.",.,.,.,.
122,WOCKHARDT LIMITED,"Wockhardt Towers,Bandra Kurla, Complex,Bandra (E),, 400051","Mumbai,Maharashtra.","26534444,",26534242,.,www.wockhardt.com
123,"KANNU IMPEX (INDIA) PVT.LTD.,","316, BEST ARCADE PLOT NO-3, SECTOR12",DWARKA NEW DELHI,.,.,.,.
124,"ILISHAAN BIOTECH (P) LIMITED,","Nandanvan, Bhandarı Kothı,  1, M.G Road, Indore , ",(Madhya Prlaldesh),.,.,.,.
125,INNVOLUTION HEALTHCARE PRIVATE LIMITED,"106, FIRST FLOOR, ROOTS TOWERS LAXMI NAGAR DISTRICT CENTRE,",NEW DELHI,.,.,.,.
126,RHETORIC LIFE SCIENCES AND TECHNOLOGIES,.,IN - India,.,.,.,.
127,ASPEN DIAGNOSTICS PVT. LTD.,"B-159, GUJRANWALA TOWN-I",DELHI,.,.,.,.
128,ASTRAL INDIA PVT. LTD.,"202, THE SANGEET PLAZA, C.T.S. NO598, MAROL MAROSHI ROAD, ANDHERI(E)","MUMBAI, MAHARASHTRA.",.,.,.,.
129,CIPLA LIMITED,"Cipla House, Peninsula Business Park,  Ganpatrao Kadam Marg,  Lower Parel, Mumbai-400013",Mumbai,+91 22 24826000 / +91 22 24826701,+91 22 24826120,.,www.cipla.com
130,COUNCIL OF SCIENTIEIC & INDL. RESEARCH,"Anusandhan Bhavan, 2 Rafi Marg, 110001",New Delhi,.,.,.,.
131,EUROFINS GENOMICS INDIA PVT LTD,"NO.183.GAYATHRI TECH PARK,EPIP  2ND PHASE,WHITEFIELD  BANGALORE",BANGALORE,.,.,.,.
132,FMC INDIA PRIVATE LIMITED,"Embassy Star # 8 First Fl., Palace Rd.High Grounds, 560052",Bangalore.,91-80-22384311/22384,22385255,.,.
133,LONZA INDIA PVT LTD.,"Corpora,2Nd Floor,Lbs Marg,, Bhandup West,, 400078","Mumba,Maharashtra",+91-22-4342 4000,.,contact.india@lonza.com,.
134,SPECTRAL DIAGNOSTICS PVT LTD,"501 & 502,VIKAS DEEP 189 ,LAXMI NAGAR DISTRICT CENTRE",DELHI,.,.,.,.
135,VISION RESEARCH FOUNDATION,NO.18 COLLEGE RD,"CHENNAI,TN.",.,.,.,.
136,YASH-RAJ BIOTECHNOLOGY LIMITED,"C/34 Konark Indraprastha Sarvodaya, Nagar Village Road Mulund West, 400080","Mumbai,Maharashtra",7686285/3451677/7686,"7686087,3451676",info@yashraj.com,.
137,REGENERATIVE MEDICAL SERVICES PVT LTD,"2Abc,Acme Plaza,Andheri-Kurla, Road,Opp.Sangam Theatre,, 400059","Andheri (E),Mumbai,Maharashtra",67330300,.,satyan@bom2.vsnl.net.in,.
138,MOLBIO DIAGNOSTICS PVT .LTD.,"Tulip House Dr. Antonio Dorego Bagh, Alto,St.Cruz, Bambolim Complex, 403202",P.O Bambolim Goa.,.,.,.,.
139,ICONIC FASHION RETAILING PVT LTD,"601 6Th Floor Ganga Heıghts  Lal Kothı Tonk Road , ",Jaıpur Rajasthan,.,.,.,.
140,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,.,India,.,.,.,.
141,SEVEN SEAS GLOBAL PRIVATE LIMITED.,.,IN - India,.,.,.,.
142,TECHNICON SERVICES,.,IN - India,.,.,.,.
143,APPLIED BIOSCIENCE CONSULTANTS & DISTRIBUTORS,"A-603, GULAB JALVAYU VIHAR,PLOT NO.20,SECTOR-20,KHARGHAR,","NAVI MUMBAI, MAHARASHTRA.",.,.,.,.
144,"DUKE THOMSON S INDIA PVT.LTD.,","E-260, Shalımar Bungalow Park,Sukhlıa, , ","Indore, M.P.",.,.,.,.
145,"FINE CHEMICAL PRODUCTS.,","44, EZRA STREET,2ND FLOOR","KOLKATA.,WEST BENGAL.",.,.,.,.
146,HORIBA INDIA PVT.LTD.,"Plot No.246,Okhla Industial Estate, Phase-Iii.,, 110020",New Delhi,91-11-46695001/5002,.,.,.
147,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH.,"900,Ncl Innovation Park,, Dr.Homi Bhabha Road,, 411008",Pune/Mah,020-25898023/2589802,.,director@isserpune.ac.in,.
148,"MANIPAL ACADEMY OF HIGHER EDUCATION,","A DEEMED UNIVERSITY,UNIVERSITY BLDG.,MADHAV NAGAR,","MANIPAL, D.K. KARNATAKA",.,.,.,.
149,SYSMEX INDIA PVT. LTD.,"308,Ascot Centre,Sahar Airport Road, Next To Hotel Le Royal Mesridien,, 400099","Andheri[E],Mumbai",022-28224040/4050,.,.,.
150,YPSOMED INDIA P.LTD,A 10 GREEN PARK,NEW DELHI,.,.,.,.
151,AMIT LAB EQUIPMENTS & SERVICES,1185 SHANTI NAGAR TRI NAGAR,NEW DELHI,.,.,.,.
152,"IMPERIAL BIOTEK,","31/B, GOBRA ROAD,1ST FLOOR,",KOLKATA(W.B.),.,.,.,.
153,INBIOS INDIA,"14/122, Ist Floor Subash Nagar , 110027",New Delhi,.,.,.,.
154,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii,, , 122001",Gurgaon,0124-4540907,.,allen@sdbiosensor.com,.
155,SUPRATECH MICROPATH LABORATORY & RESERCH INS P.LTD,"KEDAR OPP KRUPA PETROL PUMP NR, PARIMAL GARDEN, ELLIS BRIDGE",AHMEDABAD / GUJARAT,.,.,.,.
156,INSTITUTE OF LIFE SCIENCES,.,India,.,.,.,.
157,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,.,IN - India,.,.,.,.
158,HUMOLE DIAGNOSTICS PRIVATE LIMITED,.,IN - India,.,.,.,.
159,INTRA GLOBUS BIOSYSTEMS PRIVATE LIMITED.,.,IN - India,.,.,.,.
160,MERIDIAN BIOTECH,.,IN - India,.,.,.,.
161,RUCHA MEDITECH PRIVATE LIMITED.,.,IN - India,.,.,.,.
162,TANSHA,.,IN - India,.,.,.,.
163,SHREEJI IMAGING & DIAGNOSTIC CENTRE PVT. LTD.,"BHARTIYA AROGYA NIDHI HOSPITAL,GROUND FLOOR,N S ROAD NO.13,JVPD,","JUHU,VILE PARLE[W],MUMBAI,M.S.",.,.,.,.
164,TECHNO SERVE ENTERPRISES,"A-122, 2Nd Floor, Fateh Nagar  Jaıl Road, , 0",New Delhı-110018,.,.,.,.
165,TULIP DIAGNOSTICS(P)LTD.,"Gitanjali,Tulip Block,Alto, Santacruz,Dr.Antonio Do Rego Bagh, 403202",Goa India.,2458546,.,tulipvrn@sancharnet.in,.
166,XCELRIS LABS LIMITED,"Xcelris Corporate Headquarter, Old Premchandnagar Road,Bodakdev,, 380054",Ahmedabad/Gujarat,66197777,.,xcelris@xcelrislabs.com,.
167,"BIGTEC PVT LTD.,","NO.100/1,III FLOOR,ANCHORAGE-1,RICHMOND ROAD,","BANGALORE, KARNATAKA",.,.,.,.
168,NATIONAL INSTITUTE OF MENTAL HEALTH &,"NEURO-SCIENCES, POST BAG NO.2900",BANGALORE,.,.,.,.
169,NATIONAL AIDS CONTROL ORGANIZATION,.,India,.,.,.,.
170,CLONEZYME BIOTEK,"92, Charuchandra Place (East),  Tollygunge, , ",Kolkata,.,.,.,.
171,UNIQUE DIAGNOSTICS & SCIENTIFIC,"Unıt No. 701/702,Madhu Industrıal  Park, 7Th Flr,A.N.T.Marg,Off N. Rd. , ",Nr.Apollo Et.Mogra Andherı E Mumbaı,.,.,.,.
172,MICROGENIX HEALTHCARE PRIVATE LIMITED,.,India,.,.,.,.
173,REGIONAL CENTRE FOR BIOTECHNOLOGY,.,India,.,.,.,.
174,NATIONAL INSTITUTE OF ANIMAL BIOTECHNOLOGY,.,India,.,.,.,.
175,ALPINE BIOMEDICALS PRIVATE LIMITED,.,IN - India,.,.,.,.
176,NATIONAL INSTITUTE OF IMMUNE HEAMATOLOGY(ICMR),.,IN - India,.,.,.,.
177,ADVINUS THERAPEUTICS LTD,"No.21&22,Peenya Industrial Area,, Phase-Ii,, 560058",Bangalore,28394959,.,info@advinus.com,.
178,AUROBINDO PHARMA LIMITED,"Plot No.2,Maitrivihar,, Behind Maitrivanam,Ameerpet,, 500038",Hyderabad/Andhra Pradesh,3741083/84,.,exim@aurobindo.com,.
179,"IMPERIAL LIFE SCIENCES PVT. LTD.,","463-PACE CITY-IISECTOR-37,",GURGAON,.,.,.,.
180,INTERTEK INDIA PRIVATE LIMITED,"E-20, Block B1, Mohan Co-Operative, Indl. Estate, Mathura Road,, 110044",New Delhi,+91-011-41595460,.,rajesh.saigal@intertek.com,.
181,LILAC MEDICARE PVT. LTD.,"303/8, SUNGOLD STER-E-PUNJAB ,MAHAKALI CAVES ROAD,","ANDHERI EAST, MUMBAI ,MAHARASHTRA",.,.,.,.
182,"LUNDBECK INDIA PVT LTD.,","No.Iind Floor,Esteem Regency, No.6/A,Richmond Road,, 560025","Bangalore,Karnataka",2126922/2126933,.,luind@lundbeck.com,.
183,MATRIX LABORATORIES LTD,Building 4 Trident Place Mosquito Way Hatfield Hertfordshire AL10 9UL,"Hyderabad,Andhra Pradesh",+44 (0)1707 853000,+44 (0)1707 261803,.,www.mylan.com
184,MP BIOMEDICALS INDIA PVT LTD.,"Office No.312,Jolly Bhavan No-2,, Level 3,New Marine Lines,, 400020",Mumbai,022-22631257/58,.,amit.rao@mpbio.com,.
185,"NATIONAL AIDS RESEARCH INSTITUTE,","Plot No.73,G Block,, Midc,Bhosari,, 411026","Pune,Mahrashtra","7121342,7121343,7121",7121071,hivnet@giaspn01.vsnl.net.in,.
186,EDICT PHARMACEUTICALS PVT LTD,"Old No.1/63, New No.1/58 Pudupakkam, Village, Via Vandallur, 603103","Kelambakkam Road,Kelambakkam",044 27474516 2747451,.,.,.
187,STRAND LIFE SCIENCES PVT LTD,"146, 5TH CROSS,R.M.V.EXTENSION","BAGNALORE, KARNATAKA",.,.,.,.
188,PRAMUK HEALTHCARE,"33,Janki Kutir,, Juhu,, 400049","Mumbai,Maharashtra",32571836,28459333,pramuk@vsnl.net,.
189,PELLETS PHARMA LTD,"5-7-53, Sangeethnagarkukatpally, , 500072","Hyderabad-A,P,",.,.,.,.
190,UNOR EXIM PRIVATE LIMITED,"403, 4TH FLOOR KIRTI MAHAL BUILDING,RAJENDRA PLACE",NEW DELHI,.,.,.,.
191,AGRIGENOME LABS PRIVATE LIMITED,"Plot No.9, Maa Laxmı Resıdency,,Be  Hınd Chandra Reddy Gardens, , ","Kompally Telangana,Telangana",.,.,.,.
192,AMINDO BIOLOGICS PRIVATE LIMITED,"21 Ması Garh Sukhdev Vıhar, , ",New Delhi,.,.,.,.
193,ACTAVIS PHARMA DEVELOPMENT CENTRE PVT.LTD.,"No.15 80 Feet Road 4th Block S.T. Bed 1st Block Koramangala, 5th Sector, HSR Layout, Bengaluru, Karnataka 560095",Hindistan,.,.,.,.
194,LAURUS LABS PVT LTD,"2Nd Floor, Serene Chambers,Road No. 7, Banjara Hılls, , 500034",Hydeabad.Ap,.,.,.,.
195,"AURIGENE DISCOVERY TECHNOLOGIES LTD,","NO.10/1, THIRD MAIN, 2ND FLOOR,HANUMANTHANAGAR,","BANGALORE, KARNATAKA",.,.,.,.
196,BECKMAN COULTER INDIA PVT. LTD.,"Soiltaire Corporate Park,3Rd Floor,, Bldg 11,Andheri Ghatkopar Link Road, 400093","Chakala,Andheri[E]Mumbai.",5668 7019/5668 7018,.,schandrashekar@beckman.com,.
197,"BIOSERVE BIOTECHNOLOGIES (INDIA) PVT. LTD.,","3-1-135/1 A, CNR COMPLEX, GENOMEVALLEY, MALLAPUR MAIN ROAD,","R.R.DISTRICT,HYDERABAD",.,.,.,.
198,CHR. HANSEN (INDIA) PVT. LTD.,"Unit No.605,606,6Th Fl.Everest, Grande,Mahakali Caves Road, 400093","Andheri(E),Mumbai",61399200,.,intbj@chr_hansen.com,.
199,"COPMED PHARMACEUTICALS PRIVATE LIMITED,","7, Vasant Marg Iınd Floor  Vasant Vıhar , 110067",New Delhi,.,.,.,.
200,ELI LILLY & CO.(INDIA) PVT.LTD.,"Plot No.92,Sector-32, Gurgaon, 122001",Haryana,.,.,.,.
201,GE BE PVT. LIMITED,"NO 60 EPIP, WHITEFIELD",BANGALORE,.,.,.,.
202,"ORBIT TECHNOLOGIES PVT.LTD.,","405, GOLDEN EDIFICE,KHRAITABAD",HYDERABAD.,.,.,.,.
203,NU LIFE CONSULTANTS & DISTRIBUTORS PVT LTD,"L-33, 1ST FLOOR,LAJPAT NAGAR, PART-II",NEW DELHI,.,.,.,.
204,OMEGA DX (ASIA) PVT LTD,"508 5TH FLR, KANAKIA SPACES,  WESTERN EDGE I W.E.HIGHWAY,  BORIVALI-EAST, MUMBAI. (M.S.)","BORIVALI-EAST, MUMBAI. (M.S.)",.,.,.,.
205,"AVANTOR PERFORMANCE MATERIALS INDIA LTD.,","A-3, Okhla Industrıal Area,Phase-I, Okhla, , 110020",New Delhi,.,.,.,.
206,SANDOZ PRIVATE LIMITED,"MIDC Plot No. 8-A/2, 8-B, T.T.C. Ind. Area, Kalwe Block, Village, Digha Naka, Navi Mumbai, Maharashtra 400708",Hindistan,+91 22 2763 9000,.,padmaja.hariharan@pharma.novartis.com,www.sandoz.com
207,SARTORIUS WEIGHING INDIA PRIVATE LIMITED,"Plot 69/2, & 69/3, Nh-48,Jakkasandra, Nelamangala,Bangalore , 562123",Bangalore,.,.,.,.
208,SUD-CHEMIE ADSORBENTS PRIVATE LIMITED,"F 42,East Of Kailash, , 110065","Navi Mumbai,Maharashtra",919920801454,.,.,.
209,TCG LIFESCIENCES LIMITED,BLOCK - BN PLOT-7 SECTOR- VSALTLAKE ELECTRONICS COMPLEX,CALCUTTA,.,.,.,.
210,TOPWORTH PIPES & TUBES PRIVATE LIMITED,"4 Gr.Floor,Raheja Centre,214,Free, Press Journal Marg,Nariman Point,, 400021","Mumbai,Maharashtra",22841414,.,.,.
211,UNITED STATES PHARMACOPEIA INDIA PRIVATE LIMITED,"106, FIRST FLOOR , ASHOKA BHOOPALCHAMBERS BEGUMPET, S.P. ROAD,",HYDERABAD-A.P.,.,.,.,.
212,VISION DIAGNOSTIC (INDIA) PVT.LTD.,"S-4, KIRAN JYOTI COMPLEX,IIND FLOOR, PLOT NO.82, PRATAP","NEAR SUPEREME ENCLAVE, MAYUR VIHAR",.,.,.,.
213,WATSON PHARMA PVT.LTD.,"21-22,Kalpataru Square,Kondivita, Lane,Off Andheri Kurla Road,, 400059","Andheri (E),Mumbai,Maharashtra","0832288-7130,1951493",.,ceso@watsonpharm.com,.
214,"GILA LABORATORIES (PVT ) LTD.,","No.5, Road No.1,Defence Layout,Vıdyaranyapura,Bangalore , Karnataka , 560097",Bangalore,.,.,.,.
215,MALNAD ALLOY CASTINGS PVT. LTD.,"No.36,  Shımoga Bhadravathı Indl.Area, Machenahallı , 577222",Shımoga/Karnataka,.,.,.,.
216,ACCUTEST BIOLOGICS PRIVATE  LIMITED,"A-31 Mıdc, Ttc Industrıal Area,   Khaırane,   Navı Mumbaı  , 400709",Mumbai,.,.,.,.
217,BIOTECHNO LABS,"9/9, 1St Plot Near Goushala Mandır  ,Kıshangarh, Vasant Kunj, , ",New Delhi,.,.,.,.
218,CEPHEID INDIA PRIVATE LIMITED,"573, 3Rd Floor, Maın Road,  Chıragh Delhı, , 201301",New Delhi,.,.,.,.
219,ZUMUTOR BIOLOGICS PRIVATE LIMITED,.,India,.,.,.,.
220,PTS DIAGNOSTICS INDIA PVT. LTD.,"No.4, 9Th Cross Road,Jayamahal Ex  Tn. , 560046","Bangalore,Karnataka",919821111191,.,chandra@ptsdiagnostics.com,www.ptsdiagnostics.com
221,KERRY INDEV LOGISTICS PVT LTD,.,India,.,.,.,.
222,PICTOR DIAGNOSTICS INDIA PRIVATE LIMITED,.,India,.,.,.,.
223,"R K AGENCY,",.,IN - India,.,.,.,.
224,N.S.TRADING CO.,.,IN - India,.,.,.,.
225,CANAN TESTING SERVICES,"11, 1St Floor, Convenient Shopping Centre, Pocket F, G.T.B Enclave, Pin-110093","IN - Nand Nagri, Delhi",01122583460,.,canan@canantesting.com,www.canantesting.com
226,ASHOKA UNIVERSITY,.,IN - India,.,.,.,.
227,BIODX HEALTHCARE,.,IN - India,.,.,.,.
228,LABOSYS INSTRUMENTS INDIA PRIVATE LIMITED.,.,IN - India,.,.,.,.
229,CENTRE FOR DNA FINGERPRINTING & DIAGNOSTIC DIRECTO,.,IN - India,.,.,.,.
230,ACHIRA LABS PVT LTD,"NO.108/27, 29TH MAIN ROAD,  BTM 2ND STAGE,  BANGALORE",BANGALORE,.,.,.,.
231,ANALYSER INSTRUMENT CO.PVT.LTD.,5-B-7 VIGYAN NAGAR,"KOTA ,RAJ.",.,.,.,.
232,ANTON PAAR INDIA (P) LTD.,"3269, Ranjıt Nagar , 110008",New Delhi,.,.,.,.
233,BIOLOGICAL E LTD,"18/1&3 Azamabad, , 500020","Hyderabad,Andhra Pradesh",27617831,.,info@biologicale.com,.
234,BRUKER INDIA SCINTIFIC PVT. LTD.,"3, DAYASAGAR,GOKULDHAM,GOREGAON -EAST,","MUMBAI, MAHARASHTRA",.,.,.,.
235,CURADEV PHARMA PVT. LTD.,"1135-A/A Vasant Kunj , 110070",New Delhi,.,.,.,.
236,DAICEL CHIRAL TECHNOLOGIES (I)PVT LTD.,"LABORATORY,NO.4A,PHASE III, ICICIKNOWLEDGE PARK, GENOME VALLY,","TURKAPALLY (V), SHAMEERPET (M), HYD",.,.,.,.
237,"ENDRESS + HAUSER (INDIA) PVT. LTD.,","5Th Floor, Raj Plaza, A & B Wıng,L. B. S. Marg, Vıkhrolı (West), , 400083",Mumbai,.,.,.,.
238,FRESENIUS MEDICAL CARE INDIA PVT LTD,"411-412,VISHWASADAN TOWER,DISTRICTCENTRE, JANAKPURI,",NEW DELHI,.,.,.,.
239,GENOMIX MOLECULAR DIAGNOSTICS PVT LTD,"PLOT NO 89, ROAD NO 71, NAVA NIRMANNAGAR,JUBILEE HILLS",HYDERABAD.AP,.,.,.,.
240,"GENOTYPIC TECHNOLOGY PRIVATE LIMITED,","53, Thanneer Thottı Street,  Mugasımangalam, Alanthuraı Post, , 641101",Tamil Nadu,.,.,.,.
241,"GROZ-BECKERT ASIA PVT. LTD.,","133-135,Industrial Area,Phase-I,, , 160002",Chandigarh.,.,.,contact_gba@groz-beckert.com,.
242,"HAIER APPLIANCES (INDIA) PVT LTD.,","B-1/A-14, Mohan Co-Op Industrial, Estate, Mathura Road, 110044",New Delhi,011-3064500-4000,.,eric.braganza@haierindia.com,.
243,HINDUSTAN SYRINGES & MEDICAL DEVICES LTD,"Gl-3, Ashok Estate, Ground Floor,, Barakhamba Road,, 110001",New Delhi.,01294289000,.,hmd@del3.vsnl.net.in,.
244,I R TECHNOLOGY SERVICES PRIVATE LTD,"B-8 Commerce Centre, 78 Tardeo Road, 400034","Mumbai,Maharashtra",4951176/4951085,4950584,irttech-b0m@vsnl.com,.
245,INDIAN INSTITUTE OF TECHNOLOGY HYDERABAD,"Ordnance Factory Campus,, , 502205",Yeddumailaram.Ap.,23016001,.,stores@iith.ac.in,.
246,ISSAR PHARMACEUTICALS (P) LTD.,"8-3-1029, PLOTNO.90, FLAT NO 101.GAYATRI NEST.SRINAGAR COLONY",HYDERABAD.AP,.,.,.,.
247,LOTUS LABS PVT.LTD.,"NO.7,JASMA BHAVAN ROAD,OPP.GURUNANAK BHAVAN,MILLERS TANK","BED AREA,VASANTHNAGAR,BANGALORE",.,.,.,.
248,LUPIN LIMITED,"B/4 Laxmi Towers, Bandra Kurla Complex, Bandra (E), Mumbai 400 051",India,+91 22 6640 2222,+91 22 6640 2130,info@lupin.com,www.lupin.com
249,MANKIND PHARMA LTD,"236,Okhla Industrial Area,Phase., Iii,, 110020",New Delhi,.,.,.,.
250,METROHM INDIA LIMITED,"NO.13(OLD NO.4/1), 1ST AVENUE,INDIRA NAGAR, ADYAR,","CHENNAI, TAMIL NADU-",.,.,.,.
251,MICROGENE DIAGNOSTIC SYSTEMS PRIVATE LIMITED,"SU-151, 2ND FLOOR, PITAMPURA",DELHI,.,.,.,.
252,MSN LABORATORIES LIMITED,"8-3-167/D/16, KALYAN NAGAR - I,VENGAL RAO NAGAR","HYDERABAD, A.P.",.,.,.,.
253,PFIZER LIMITED,"Pfızer Centre,5,Patel Estate,Off S.V.Rd,Jogeshwarı(W) , 400102",Mumbai,.,.,.,.
254,PPD PHARMACEUTICAL DEVELOPMENT (I) PVT. LTD.,"01-DYNASTY B-WING (KANAKIA SPACES)ANDHERI KURLA RD.ANDHERI (EAST),","MUMBAI,MAHARASHTRA",.,.,.,.
255,SANDOR LIFE SCIENCES PRIVATE LIMITED,"# 8-2-326/5, 2Nd Floor, Plot No.1,  Road No.3, Banjara Hılls, , 500034","Hyderabad, A.P.",.,.,.,.
256,SANOFI - SYNTHELABO (INDIA) LTD.,"54-A,Sir Mathurdas Vasanji Road,, Andheri (East), 400093","Powai, Mumbai","022030707860,3070786",30707869,alan.fernandes@sanofi.com,.
257,SARTORIUS STEDIM INDIA PVT. LTD.,"10, 3Rd Phase Peenya6Th Maın, Kıadb Indl. Area , 560058",Bangalore,.,.,.,.
258,SHANTHA BIOTECHNICS. LTD,"3Rd & 4Th Floors, H.No. 5-10-173, Fateh Maidan Road, Basheerbagh, 500004","Hyderabad, Telangana",3543010,.,rajasekhar.n@shanthabiotech.com,.
259,TRANSASIA BIO MEDICALS LTD.,"Transasıa House, 8,Chandıvalıstudıo Road, , 400072",Mumbai,.,.,.,.
260,WHEECON INSTRUMENTS (P) LTD,"NEW NO.151, SANTHOME HIGH ROAD,M..R.C. NAGAR,","CHENNAI, TAMILNADU-",.,.,.,.
261,WIPRO LIMITED,"Doddakannelli, Sarjapura Road,, 560035",Bangalore/Karnataka,044-30696681,.,raman.venkat@wipro.com,.
262,INDIAN INSTITUTE OF SCIENCE EDU.& RESEARCH MOHALI,"Mgsipa Complex,Sector 26,, , ",Chandigarh.,.,.,.,.
263,MANIPAL HEALTH ENTERPRISES PVT LIMITED,"N0.14, MANIPAL TOWERS, 6TH FLOOR,AIRPORT ROAD, ",BANGALORE,.,.,.,.
264,AASHISH BIO BUSINESS PVT. LTD.,"2-2-22/A, 1St Floor, Pan Bazaar  M.G.Road , 500003",Secunderabad.Ap,.,.,.,.
265,"BHAMIS RESEARCH LABORATORY PVT.LTD,","Door No.13-10-1372, Mahamaye Temple Road, Casaba Bazar Vıllage, , ","Mangalore, Karnataka",.,.,.,.
266,CENTRAL DRUG HOUSE PVT LTD.,"7/28,Vardaan Lhouse,Mahabir, Mahabir Srreeet,Ansari Road, 110002",New Delhi,.,.,.,.
267,FEBRIS LIFESCIENCES,"PLOT NO.85, 2NF DLOOR, SHOP NO.1, PRASANTH NAGAR, KUKATPALLY,","HYDERABAD, AP.",.,.,.,.
268,BLUGWORKS RESEARCH INDIA PVT LTD,"C/O Blug Works Research (I) (P) Ltd  Prestıge Regent, Plaace No.8, 28/2, , ","Thubarahallı Vıllage, Bangalore",.,.,.,.
269,PIONEER HI-BRED PRIVATE LIMITED,"6-3-1099/1100, 3Rd Floor, Babukhans  Mıllennıum Centre, Raj Bhavan Road, , ","Hyderabad, Telangana",.,.,.,.
270,S S BIOANALYTICS,"No.19-22/2, Goutham Nagar, Malkajgırı, , ","Hyderabad, Telangana.",.,.,.,.
271,SHREYA CORPORATION,"32/A, Abhıshek Soc, Near Vrajdhammandır, Manjalpur, Baroda , ",Gujarat,.,.,.,.
272,SYNZEAL RESEARCH PRIVATE LIMITED,"A-302, Ganesh Sopan, Nr.Ganesh  House,Chenpur Road,New Ranıp, , ","Ahmedabad, Gujarat, Indıa",.,.,.,.
273,CLEVERGENE BIOCORP PRIVATE LIMITED,.,India,.,.,.,.
274,"RAJIV GANDHI CENTRE FOR BIOTECHNOLOGY,.",.,India,.,.,.,.
275,M/S. CENTRE FOR DNA FINGERPRINTING & DIAGNOSTICS,.,India,.,.,.,.
276,KARWA ENTERPRISES PRIVATE LIMITED,.,India,.,.,.,.
277,CENTRAL UNIVERSITY OF TAMIL NADU,.,IN - India,.,.,.,.
278,M/S.NATIONAL INSTITUTE OF BIOLOGICALS,.,India,.,.,.,.
279,A.I.C SPECIALITIES,"No125 Old No.56, Langs Garden Road,Pin-600002","IN - Pudupet, Tamil Nadu",919841020266,.,chennai@aicgroup.in,www.aicgroup.in
280,BHAGWATI TRADING COMPANY.,"Shop No. 01, Club Market,Pin-132001","IN - Karnal, Haryana",919996075004,.,advocatenitingupta@gmail.com,.
281,CLIWIS LAB PRIVATE LIMITED,.,IN - India,.,.,.,.
282,DEEKSHA ANALYTICAL PRIVATE LIMITED.,.,IN - India,.,.,.,.
283,NAVIGENE GENETIC SCIENCE PVT. LTD.,"India Co. Centre, 4Th Floor, Symphony, Survey No 210 A-1, Range, Pin-411020","IN - Hills Road, Shivajinagar, Pune/Mah",111111,.,manish@incucapital.com,www.incucapital.com
284,HOTGEN BIOTECH INDIA PRIVATE LIMITED,.,IN - India,.,.,.,.
285,BIOTECH DESK PVT LTD,BLOCK A 9 TH FLOOR FLAT NO 902 IDA NACHARAM NO 12 RD HYDERABAD LIFE CHEMICALS INC 1ADIXIE AVENUE NIAGARA ON THE LAKE ONTARIO L0S 1J0 КАНАДА LIFE CHEMICALS INC 1ADIXIE AVENUE NIAGARA ON THE LAKE ONTARIO L0S 1J0 КАНАДА,IN - India,.,.,.,.
286,HETERO BIOPHARMA LTD,"509301, , TELANGANA, SY NO 458 TSIIC FORMULATION SEZ POLEPALLY JADCHERL,",IN - India,.,.,.,.
